latitude,longitude,depth,mag,place,locationSource,zone
31.656,-104.315,5.14,1.8,western Texas,tx,red
57.453,-156.518,95.3,1.8,"53 km E of Ugashik, Alaska",ak,red
60.331,-152.133,100.1,2.1,"40 km NW of Ninilchik, Alaska",ak,red
17.978,-66.908,12.65,2.38,"0 km N of Guánica, Puerto Rico",pr,yellow
-23.153,-67.89,169.01,4.2,"41 km SE of San Pedro de Atacama, Chile",us,red
-8.245,160.776,10.0,4.9,"58 km N of Auki, Solomon Islands",us,red
31.637,-104.46,4.41,2.5,"60 km S of Whites City, New Mexico",tx,red
-10.223,118.178,24.82,4.8,,us,red
63.515,-147.481,0.0,1.5,"74 km E of Cantwell, Alaska",ak,red
31.651,-104.131,3.67,2.1,"49 km NW of Toyah, Texas",tx,red
31.695,-104.276,7.13,1.9,"54 km S of Whites City, New Mexico",tx,red
19.287,-155.383,2.89,2.15,"13 km NE of Pāhala, Hawaii",hv,red
31.662,-104.312,6.13,2.8,"57 km S of Whites City, New Mexico",tx,red
31.747,-104.172,4.25,1.6,western Texas,tx,red
31.664,-104.313,6.13,3.4,"57 km S of Whites City, New Mexico",tx,red
-0.885,-79.244,16.14,5.1,Ecuador,us,red
60.111,-147.089,18.7,2.3,"51 km E of Chenega, Alaska",ak,red
19.294,-155.381,3.72,2.64,"14 km NE of Pāhala, Hawaii",hv,red
19.337,-155.096,3.58,2.28,"14 km SSE of Fern Forest, Hawaii",hv,red
62.011,-150.825,61.8,2.5,"30 km E of Skwentna, Alaska",ak,red
19.215,-155.385,29.55,2.04,"9 km E of Pāhala, Hawaii",hv,red
60.056,-151.398,54.7,1.6,"Kenai Peninsula, Alaska",ak,red
59.504,-152.061,60.6,1.8,"18 km NNW of Nanwalek, Alaska",ak,red
19.246,-155.401,30.72,1.82,"9 km ENE of Pāhala, Hawaii",hv,red
-16.859,-72.176,75.83,4.5,Near the coast of southern Peru,us,red
-4.321,153.014,24.18,5.2,"82 km E of Kokopo, Papua New Guinea",us,red
