time,latitude,longitude,depth,mag,place,locationSource
2023-11-07T06:20:27.627Z,31.656,-104.315,5.1385,1.8,western Texas,tx
2023-11-07T06:05:57.453Z,57.4533,-156.5183,95.3,1.8,"53 km E of Ugashik, Alaska",ak
2023-11-07T06:01:38.598Z,60.3309,-152.1333,100.1,2.1,"40 km NW of Ninilchik, Alaska",ak
2023-11-07T05:53:22.960Z,17.9785,-66.9085,12.65,2.38,"0 km N of Guánica, Puerto Rico",pr
2023-11-07T05:52:33.912Z,-23.1531,-67.8899,169.008,4.2,"41 km SE of San Pedro de Atacama, Chile",us
2023-11-07T05:49:51.679Z,-8.2449,160.7759,10,4.9,"58 km N of Auki, Solomon Islands",us
2023-11-07T05:44:30.237Z,31.637,-104.46,4.4085,2.5,"60 km S of Whites City, New Mexico",tx
2023-11-07T05:36:36.553Z,-10.2228,118.1776,24.825,4.8,,us
2023-11-07T05:24:16.375Z,63.5154,-147.4806,0,1.5,"74 km E of Cantwell, Alaska",ak
2023-11-07T05:10:33.987Z,31.651,-104.131,3.6724,2.1,"49 km NW of Toyah, Texas",tx
2023-11-07T04:29:02.999Z,31.695,-104.276,7.1279,1.9,"54 km S of Whites City, New Mexico",tx
2023-11-07T04:27:08.010Z,19.2871666666667,-155.382833333333,2.89,2.15,"13 km NE of Pāhala, Hawaii",hv
2023-11-07T04:27:02.228Z,31.662,-104.312,6.1316,2.8,"57 km S of Whites City, New Mexico",tx
2023-11-07T04:20:47.756Z,31.747,-104.172,4.2464,1.6,western Texas,tx
2023-11-07T04:02:46.698Z,31.664,-104.313,6.1316,3.4,"57 km S of Whites City, New Mexico",tx
2023-11-07T03:33:46.371Z,-0.8851,-79.2441,16.139,5.1,Ecuador,us
2023-11-07T03:18:55.956Z,60.1112,-147.089,18.7,2.3,"51 km E of Chenega, Alaska",ak
2023-11-07T02:51:13.810Z,19.2938333333333,-155.381333333333,3.72,2.64,"14 km NE of Pāhala, Hawaii",hv
2023-11-07T02:39:35.210Z,19.3373333333333,-155.0965,3.58,2.28,"14 km SSE of Fern Forest, Hawaii",hv
2023-11-07T02:25:08.085Z,62.0112,-150.8251,61.8,2.5,"30 km E of Skwentna, Alaska",ak
2023-11-07T02:16:53.620Z,19.2154998779297,-155.384994506836,29.5499992370605,2.03999996,"9 km E of Pāhala, Hawaii",hv
2023-11-07T02:12:41.684Z,60.0559,-151.3981,54.7,1.6,"Kenai Peninsula, Alaska",ak
2023-11-07T01:55:55.526Z,59.5042,-152.0614,60.6,1.8,"18 km NNW of Nanwalek, Alaska",ak
2023-11-07T01:30:39.220Z,19.2458324432373,-155.400833129883,30.7199993133545,1.82000005,"9 km ENE of Pāhala, Hawaii",hv
2023-11-07T01:07:04.742Z,-16.8588,-72.1765,75.834,4.5,Near the coast of southern Peru,us
2023-11-07T00:53:39.876Z,-4.3211,153.0141,24.176,5.2,"82 km E of Kokopo, Papua New Guinea",us
2023-11-07T00:47:19.396Z,60.6292,-152.0151,76.1,1.6,,ak
2023-11-07T00:41:25.300Z,17.941,-66.949,10.56,2.23,Puerto Rico region,pr
2023-11-07T00:30:24.872Z,62.9803,-151.7789,10,1.9,"62 km S of Denali National Park, Alaska",ak
2023-11-07T00:14:04.790Z,18.0335,-68.2913,69,3.77,Mona Passage,pr
2023-11-07T00:02:12.604Z,7.2862,91.6556,10,4.5,"Nicobar Islands, India region",us
2023-11-06T23:53:13.605Z,31.656,-104.311,4.0946,1.5,"57 km S of Whites City, New Mexico",tx
2023-11-06T23:44:13.262Z,31.662,-104.306,6.3886,2.8,,tx
2023-11-06T23:27:26.470Z,62.5978,-150.7054,74.1,1.8,"11 km NNE of Petersville, Alaska",ak
2023-11-06T23:21:29.490Z,34.081665,-116.9836655,1.14,2.27,"8 km NE of Yucaipa, CA",ci
2023-11-06T23:15:53.723Z,57.4338,-154.1037,49.694,4.1,"14 km SSW of Larsen Bay, Alaska",us
2023-11-06T23:15:25.462Z,57.5046,-154.2321,28,3.9,"15 km ESE of Karluk, Alaska",ak
2023-11-06T23:10:38.100Z,36.5714989,-121.1709976,3.23,1.56,"5 km NNW of Pinnacles, CA",nc
2023-11-06T23:01:34.184Z,31.684,-104.425,5.9886,1.7,,tx
2023-11-06T22:22:01.511Z,60.1817,-151.1111,62.1,1.5,"16 km ESE of Clam Gulch, Alaska",ak
2023-11-06T22:01:29.110Z,19.2501659393311,-155.400665283203,32.1199989318848,2.28,"9 km ENE of Pāhala, Hawaii",hv
2023-11-06T21:31:03.550Z,40.382,-124.33,24.98,2.5,"7 km NNW of Petrolia, CA",nc
2023-11-06T21:30:59.991Z,-7.4825,156.1122,26.361,5.3,"105 km NW of Gizo, Solomon Islands",us
2023-11-06T21:18:42.140Z,35.5065002,-118.3844986,8.28,1.69,"13 km SE of Bodfish, CA",ci
2023-11-06T21:12:52.689Z,5.2796,94.2452,30.255,4.7,"124 km WSW of Banda Aceh, Indonesia",us
2023-11-06T21:01:44.799Z,31.662,-104.31,7.0571,2.8,"57 km S of Whites City, New Mexico",tx
2023-11-06T21:00:19.399Z,31.646,-104.311,4.0672,2.6,"59 km S of Whites City, New Mexico",tx
2023-11-06T20:50:52.139Z,13.4576,120.8822,167.188,4.9,"6 km SW of Balatero, Philippines",us
2023-11-06T20:47:20.626Z,31.646,-104.313,4.011,1.7,"59 km S of Whites City, New Mexico",tx
2023-11-06T20:13:16.320Z,36.1956673,-117.9833298,0.95,2.9,"10 km SSE of Olancha, CA",ci
2023-11-06T20:02:50.646Z,63.0524,-148.2414,65.4,1.6,"51 km SE of Cantwell, Alaska",ak
